    ,number_of_cities,index_of_sample,x_min,x_avg               ,x_stdev           ,x_median,x_q1   ,x_q3   ,x_max,y_min,y_avg               ,y_stdev           ,y_median,y_q1   ,y_q3   ,y_max
69  ,4               ,70             ,0    ,219.0               ,199.56118527075014,201.5   ,108.75 ,311.75 ,473  ,-745 ,-51.0               ,751.0157566034594 ,-218.5  ,-514.0 ,244.5  ,978
70  ,4               ,71             ,-749 ,39.75               ,599.2669827937017 ,109.5   ,-187.25,336.5  ,689  ,-732 ,-14.0               ,577.0112650546781 ,-2.5    ,-186.75,170.25 ,681
71  ,4               ,72             ,-550 ,-34.25              ,478.36971406364484,-91.5   ,-274.75,149.0  ,596  ,-135 ,297.75              ,429.38356978347457,295.5   ,-33.75 ,627.0  ,735
72  ,4               ,73             ,-897 ,-431.25             ,406.5893710694694 ,-414.0  ,-696.0 ,-149.25,0    ,-600 ,-56.25              ,435.2611285194211 ,-43.5   ,-215.25,115.5  ,462
73  ,4               ,74             ,-777 ,93.0                ,655.2500794861963 ,201.5   ,-194.25,488.75 ,746  ,0    ,535.5               ,369.01896970210083,650.5   ,464.25 ,721.75 ,841
74  ,4               ,75             ,0    ,301.25              ,365.11858804138325,228.5   ,4.5    ,525.25 ,748  ,-734 ,-48.25              ,476.0688850716179 ,112.5   ,-183.5 ,247.75 ,316
75  ,4               ,76             ,0    ,475.0               ,411.4016690940052 ,511.0   ,201.75 ,784.25 ,878  ,-509 ,143.5               ,507.7338541663995 ,235.0   ,-127.25,505.75 ,613
76  ,4               ,77             ,-851 ,-211.0              ,746.6909222250753 ,-373.5  ,-773.0 ,188.5  ,754  ,-203 ,348.0               ,542.5022273379776 ,316.5   ,-50.75 ,715.25 ,962
77  ,4               ,78             ,0    ,323.25              ,292.6310247849101 ,339.5   ,117.0  ,545.75 ,614  ,-567 ,163.0               ,581.4653901996231 ,221.0   ,-141.75,525.75 ,777
78  ,4               ,79             ,-751 ,-427.0              ,365.9025371142795 ,-478.5  ,-721.75,-183.75,0    ,-778 ,-269.75             ,346.9086094828627 ,-150.5  ,-328.0 ,-92.25 ,0
79  ,4               ,80             ,-790 ,93.75               ,651.373100969534  ,265.5   ,-197.5 ,556.75 ,634  ,-736 ,111.25              ,700.0168450354129 ,108.0   ,-184.0 ,403.25 ,965
80  ,4               ,81             ,-788 ,49.5                ,606.3164740188631 ,220.0   ,-197.0 ,466.5  ,546  ,-730 ,-131.25             ,418.12547957122473,-19.0   ,-211.0 ,60.75  ,243
81  ,4               ,82             ,-989 ,-168.5              ,615.1631219982767 ,-87.5   ,-378.5 ,122.5  ,490  ,0    ,454.25              ,342.6410901609243 ,526.5   ,289.5  ,691.25 ,764
82  ,4               ,83             ,-900 ,-246.25             ,572.2414263228414 ,-248.0  ,-597.0 ,102.75 ,411  ,-112 ,250.75              ,422.952617519583  ,140.0   ,-28.0  ,418.75 ,835
83  ,4               ,84             ,-976 ,-477.0              ,401.3601873629222 ,-466.0  ,-636.25,-306.75,0    ,0    ,380.0               ,388.96529408161854,298.0   ,218.25 ,459.75 ,924
84  ,4               ,85             ,-904 ,-147.25             ,528.3807812553367 ,-6.0    ,-235.0 ,81.75  ,327  ,-763 ,155.75              ,705.181477824444  ,270.5   ,-190.75,617.0  ,845
85  ,4               ,86             ,-622 ,15.0                ,578.5003601266526 ,-49.0   ,-229.0 ,195.0  ,780  ,-368 ,160.5               ,445.3167412078733 ,171.5   ,-92.0  ,424.0  ,667
86  ,4               ,87             ,-380 ,-49.0               ,266.8807474010318 ,-42.0   ,-158.0 ,67.0   ,268  ,-821 ,169.5               ,754.0408919061795 ,321.0   ,-205.25,695.75 ,857
87  ,4               ,88             ,0    ,403.0               ,358.4829145161593 ,370.5   ,254.25 ,519.25 ,871  ,-660 ,-286.0              ,276.2281665580105 ,-242.0  ,-377.25,-150.75,0
88  ,4               ,89             ,-751 ,-202.25             ,633.361600246389  ,-331.0  ,-684.25,151.0  ,604  ,-165 ,373.0               ,530.3074579901738 ,410.0   ,-41.25 ,824.25 ,837
89  ,4               ,90             ,-494 ,257.0               ,629.7946755358712 ,300.0   ,-123.5 ,680.5  ,922  ,-291 ,215.5               ,486.10184118145446,153.5   ,-72.75 ,441.75 ,846
90  ,4               ,91             ,-646 ,-267.25             ,367.0162348816012 ,-257.0  ,-547.0 ,22.75  ,91   ,-871 ,-50.5               ,594.4187637235779 ,62.5    ,-217.75,229.75 ,544
91  ,4               ,92             ,-527 ,225.75              ,612.2768300913131 ,298.0   ,-131.75,655.5  ,834  ,-462 ,45.75               ,386.5215604163197 ,95.0    ,-115.5 ,256.25 ,455
92  ,4               ,93             ,-379 ,-77.0               ,236.88956639469512,-58.0   ,-181.75,46.75  ,187  ,-981 ,-15.75              ,691.2049261977232 ,150.0   ,-245.25,379.5  ,618
93  ,4               ,94             ,-579 ,-66.0               ,633.3387719064734 ,-244.5  ,-511.5 ,201.0  ,804  ,0    ,363.5               ,438.5996656025477 ,232.5   ,100.5  ,495.5  ,989
94  ,4               ,95             ,-228 ,252.0               ,485.29647295922797,174.5   ,-57.0  ,483.5  ,887  ,-778 ,-101.0              ,478.7330501786286 ,12.0    ,-194.5 ,105.5  ,350
95  ,4               ,96             ,-601 ,-127.0              ,458.80061028730114,-180.0  ,-420.25,113.25 ,453  ,-970 ,-355.5              ,609.4448293324015 ,-381.5  ,-814.75,77.75  ,311
96  ,4               ,97             ,0    ,355.25              ,381.39688427323756,326.0   ,48.0   ,633.25 ,769  ,-712 ,94.5                ,689.160116857227  ,60.5    ,-178.0 ,333.0  ,969
97  ,4               ,98             ,-624 ,42.25               ,484.09529020638075,170.0   ,-156.0 ,368.25 ,453  ,-871 ,-398.5              ,364.88217276266045,-361.5  ,-553.0 ,-207.0 ,0
98  ,4               ,99             ,-23  ,201.75              ,350.34114326848146,55.0    ,-5.75  ,262.5  ,720  ,-613 ,-104.0              ,360.1731065288838 ,-19.0   ,-181.75,58.75  ,235
99  ,5               ,0              ,-598 ,199.6               ,520.7958333166655 ,357.0   ,0.0    ,494.0  ,745  ,-864 ,269.4               ,748.5778516627379 ,354.0   ,0.0    ,864.0  ,993
100 ,5               ,1              ,-970 ,37.4                ,674.8902132939846 ,57.0    ,0.0    ,176.0  ,924  ,-977 ,-173.2              ,723.4605725262435 ,0.0     ,-747.0 ,3.0    ,855
101 ,5               ,2              ,-698 ,-129.4              ,530.7554050596187 ,-185.0  ,-457.0 ,0.0    ,693  ,-738 ,-396.0              ,343.18726666355207,-531.0  ,-652.0 ,-59.0  ,0
102 ,5               ,3              ,-974 ,-58.8               ,597.4585341260095 ,0.0     ,-207.0 ,270.0  ,617  ,-215 ,299.2               ,492.0982625451953 ,80.0    ,0.0    ,686.0  ,945
103 ,5               ,4              ,-332 ,173.0               ,391.19943762740763,188.0   ,0.0    ,273.0  ,736  ,-785 ,-82.6               ,564.0578871002514 ,-103.0  ,-295.0 ,0.0    ,770
104 ,5               ,5              ,-662 ,115.8               ,690.5882999298497 ,0.0     ,-400.0 ,698.0  ,943  ,-712 ,168.8               ,560.4629336539572 ,309.0   ,0.0    ,526.0  ,721
105 ,5               ,6              ,-918 ,333.0               ,796.7841614891702 ,748.0   ,0.0    ,854.0  ,981  ,-927 ,-187.4              ,682.0148825355645 ,0.0     ,-885.0 ,364.0  ,511
106 ,5               ,7              ,-800 ,56.0                ,554.573259362548  ,46.0    ,0.0    ,331.0  ,703  ,-894 ,-208.8              ,457.3436344806824 ,-94.0   ,-378.0 ,0.0    ,322
107 ,5               ,8              ,-765 ,231.2               ,629.222297761292  ,507.0   ,0.0    ,640.0  ,774  ,-702 ,214.0               ,633.2009949455228 ,149.0   ,0.0    ,793.0  ,830
108 ,5               ,9              ,-948 ,-38.8               ,717.882441629547  ,0.0     ,-512.0 ,402.0  ,864  ,-909 ,-140.4              ,750.9136435036988 ,0.0     ,-847.0 ,170.0  ,884
109 ,5               ,10             ,-811 ,-12.0               ,549.0346072881016 ,0.0     ,-203.0 ,315.0  ,639  ,-591 ,-314.8              ,228.37512999448955,-287.0  ,-471.0 ,-225.0 ,0
110 ,5               ,11             ,-754 ,-64.4               ,577.4965800764538 ,0.0     ,-550.0 ,463.0  ,519  ,-10  ,213.0               ,316.86037934711874,31.0    ,0.0    ,319.0  ,725
111 ,5               ,12             ,-714 ,50.4                ,587.8743913456343 ,0.0     ,-296.0 ,605.0  ,657  ,-566 ,86.4                ,583.7947413260931 ,0.0     ,-371.0 ,632.0  ,737
112 ,5               ,13             ,-994 ,220.4               ,753.6353892964422 ,585.0   ,0.0    ,609.0  ,902  ,-645 ,-180.6              ,368.92722859664343,-191.0  ,-389.0 ,0.0    ,322
113 ,5               ,14             ,-595 ,-48.2               ,432.68545156961306,0.0     ,-375.0 ,357.0  ,372  ,-592 ,113.4               ,621.0465360985439 ,0.0     ,-336.0 ,633.0  ,862
114 ,5               ,15             ,-951 ,-238.2              ,413.0674279097784 ,-144.0  ,-183.0 ,0.0    ,87   ,-432 ,160.2               ,559.0717306392803 ,0.0     ,-202.0 ,471.0  ,964
115 ,5               ,16             ,-502 ,167.6               ,710.5401466490124 ,0.0     ,-483.0 ,831.0  ,992  ,-550 ,-63.4               ,358.2168337752987 ,0.0     ,-285.0 ,171.0  ,347
116 ,5               ,17             ,-971 ,-215.4              ,646.2528916763158 ,-208.0  ,-624.0 ,0.0    ,726  ,-996 ,-106.0              ,840.7832657706741 ,0.0     ,-926.0 ,515.0  ,877
117 ,5               ,18             ,-457 ,250.8               ,469.15850200118933,501.0   ,0.0    ,566.0  ,644  ,-898 ,-143.8              ,542.9044114759062 ,0.0     ,-412.0 ,39.0   ,552
118 ,5               ,19             ,-529 ,148.8               ,488.2352916371368 ,24.0    ,0.0    ,581.0  ,668  ,-943 ,7.6                 ,788.8962542692163 ,0.0     ,-594.0 ,727.0  ,848
119 ,5               ,20             ,-742 ,-199.8              ,320.4250302332825 ,-24.0   ,-243.0 ,0.0    ,10   ,-25  ,347.4               ,371.2954349301914 ,433.0   ,0.0    ,460.0  ,869
120 ,5               ,21             ,-1000,-41.2               ,690.1975804072338 ,0.0     ,-253.0 ,135.0  ,912  ,-58  ,142.0               ,244.44733584148548,12.0    ,0.0    ,219.0  ,537
121 ,5               ,22             ,-451 ,-157.4              ,214.9053279935144 ,-209.0  ,-227.0 ,0.0    ,100  ,-977 ,-228.2              ,458.61498013039215,-169.0  ,-241.0 ,0.0    ,246
122 ,5               ,23             ,-677 ,-54.2               ,651.1779326727833 ,-63.0   ,-520.0 ,0.0    ,989  ,-714 ,-183.0              ,482.0114106533164 ,-68.0   ,-602.0 ,0.0    ,469
123 ,5               ,24             ,-599 ,93.2                ,691.126399437903  ,0.0     ,-545.0 ,772.0  ,838  ,-976 ,-169.6              ,465.67402762017986,0.0     ,-145.0 ,123.0  ,150
124 ,5               ,25             ,-287 ,428.2               ,544.3309654980139 ,648.0   ,0.0    ,802.0  ,978  ,-803 ,127.0               ,589.0076400183617 ,216.0   ,0.0    ,488.0  ,734
125 ,5               ,26             ,-284 ,266.0               ,488.80006137479154,165.0   ,0.0    ,449.0  ,1000 ,0    ,351.0               ,374.7052174710141 ,202.0   ,164.0  ,425.0  ,964
126 ,5               ,27             ,-880 ,-359.4              ,613.3256068353905 ,-659.0  ,-803.0 ,0.0    ,545  ,-923 ,-51.0               ,559.6489971401718 ,0.0     ,-136.0 ,212.0  ,592
127 ,5               ,28             ,-428 ,-62.8               ,275.9759047453237 ,0.0     ,-256.0 ,125.0  ,245  ,-682 ,-215.2              ,392.9137309893865 ,-336.0  ,-396.0 ,0.0    ,338
128 ,5               ,29             ,-757 ,93.2                ,510.39759011970267,345.0   ,0.0    ,376.0  ,502  ,-691 ,16.6                ,644.0083850385801 ,0.0     ,-506.0 ,408.0  ,872
129 ,5               ,30             ,-315 ,180.0               ,492.0777377610168 ,0.0     ,-150.0 ,486.0  ,879  ,-827 ,-246.8              ,419.5768106080221 ,-191.0  ,-472.0 ,0.0    ,256
130 ,5               ,31             ,-865 ,-67.8               ,750.1817779711795 ,0.0     ,-801.0 ,620.0  ,707  ,-887 ,-238.8              ,541.7335138239096 ,-93.0   ,-673.0 ,0.0    ,459
131 ,5               ,32             ,-710 ,-106.2              ,651.2827343020848 ,-278.0  ,-502.0 ,0.0    ,959  ,-547 ,-197.4              ,251.50805156097888,-65.0   ,-380.0 ,0.0    ,5
132 ,5               ,33             ,-696 ,-0.6                ,515.3157284616879 ,0.0     ,-97.0  ,37.0   ,753  ,-407 ,135.8               ,564.9864600147512 ,0.0     ,-359.0 ,599.0  ,846
133 ,5               ,34             ,-971 ,-341.2              ,383.6504919845666 ,-189.0  ,-420.0 ,-126.0 ,0    ,-989 ,-599.4              ,393.62583756659063,-713.0  ,-861.0 ,-434.0 ,0
134 ,5               ,35             ,-646 ,-99.4               ,489.8094527466778 ,-67.0   ,-423.0 ,0.0    ,639  ,-392 ,-72.8               ,479.6198494641355 ,-336.0  ,-372.0 ,0.0    ,736
135 ,5               ,36             ,-728 ,-147.6              ,465.77279869052035,0.0     ,-549.0 ,264.0  ,275  ,0    ,325.6               ,404.8250239300925 ,64.0    ,37.0   ,679.0  ,848
136 ,5               ,37             ,-911 ,-636.2              ,367.6298410085884 ,-713.0  ,-862.0 ,-695.0 ,0    ,-365 ,264.8               ,487.2275649016587 ,312.0   ,0.0    ,442.0  ,935
137 ,5               ,38             ,0    ,152.8               ,260.27043627734594,48.0    ,5.0    ,98.0   ,613  ,-452 ,130.4               ,563.2169209105848 ,0.0     ,-225.0 ,336.0  ,993
138 ,5               ,39             ,-503 ,165.4               ,499.71621946861   ,11.0    ,0.0    ,580.0  ,739  ,-565 ,169.0               ,617.810245949353  ,0.0     ,-207.0 ,800.0  ,817
139 ,5               ,40             ,-542 ,176.2               ,656.7116566652369 ,0.0     ,-295.0 ,750.0  ,968  ,-77  ,343.0               ,349.9928570699694 ,574.0   ,0.0    ,586.0  ,632
140 ,5               ,41             ,-593 ,240.4               ,667.4138895767753 ,0.0     ,-55.0  ,876.0  ,974  ,-155 ,259.8               ,313.5501554775567 ,463.0   ,0.0    ,470.0  ,521
141 ,5               ,42             ,-981 ,-394.2              ,364.4375117904302 ,-293.0  ,-441.0 ,-256.0 ,0    ,-189 ,101.8               ,199.79914914733746,155.0   ,0.0    ,225.0  ,318
