,100,200,300,400,500,600,700,800,900,1000
38,3.76,3.76,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66
39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
40,8.06,8.06,8.17,8.06,8.06,8.06,8.06,8.06,8.06,8.06
41,2.08,2.08,2.08,2.08,2.08,2.08,2.08,2.08,2.08,2.08
42,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18
43,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06
44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
46,2.19,2.19,2.19,2.19,2.19,2.19,2.19,2.19,2.19,2.19
47,3.78,6.63,3.91,3.27,3.27,3.27,3.27,6.48,3.91,3.27
48,2.90,2.90,2.90,2.90,2.90,2.90,2.90,2.90,2.90,2.90
49,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22
50,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43
51,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93
52,5.56,5.56,5.56,5.79,5.56,5.56,5.56,5.56,5.56,5.56
53,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
54,4.15,2.82,2.64,1.44,2.82,2.82,1.44,1.44,1.44,1.44
55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
56,5.31,5.31,5.31,5.31,5.31,5.31,5.31,5.31,5.31,5.31
57,4.85,4.73,4.76,4.73,4.73,4.76,4.73,4.73,4.73,4.73
58,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09
59,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
60,2.87,3.29,3.29,2.87,3.29,2.87,3.29,3.29,2.87,2.87
61,3.93,3.10,0.95,0.95,0.95,1.71,1.71,1.71,2.44,1.71
62,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26
63,4.21,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50
64,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08
65,4.56,4.56,4.56,4.56,4.56,4.56,4.56,4.56,4.56,4.56
66,5.21,5.21,5.21,5.21,5.21,4.80,5.21,5.21,4.80,5.21
67,5.67,2.19,2.19,3.02,2.19,2.19,2.19,2.19,2.19,2.19
68,5.42,5.42,5.42,5.42,5.42,5.42,5.42,5.42,5.42,5.42
69,1.93,1.93,1.93,1.93,1.93,1.93,1.80,1.93,1.80,1.93
70,8.38,8.38,8.38,8.38,8.38,8.38,8.38,8.38,8.38,8.38
71,6.40,6.40,6.40,6.40,6.40,6.40,6.40,6.40,6.40,6.40
72,6.33,6.33,6.33,5.55,4.61,4.61,4.78,5.72,4.61,4.78
73,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.91
74,5.38,5.20,5.20,4.67,5.20,5.20,5.20,5.20,5.20,5.20
75,6.27,4.98,6.52,4.98,4.98,4.98,4.98,4.98,4.98,4.98
76,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55
77,3.64,3.64,3.64,3.64,3.64,3.64,3.64,3.64,3.64,3.64
78,7.65,7.65,6.82,7.65,6.82,6.82,6.82,6.82,6.82,6.82
79,3.20,3.20,3.20,3.20,3.20,3.20,3.20,3.20,3.20,3.20
80,2.10,0.09,0.09,0.09,0.59,0.09,0.09,0.09,0.09,0.09
81,2.48,2.48,2.48,2.48,2.48,2.48,2.48,2.48,2.48,2.48
82,1.65,0.00,0.00,0.00,1.27,0.00,0.00,0.00,0.00,0.00
83,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90,1.90
84,3.37,3.23,5.89,3.23,4.43,3.23,3.23,3.23,3.37,3.37
85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
86,0.00,2.75,0.00,1.53,1.53,2.14,2.63,1.53,0.00,2.14
87,7.96,7.96,7.96,7.96,6.83,6.83,7.94,7.94,7.96,7.96
88,8.63,8.98,8.25,8.60,8.25,7.74,8.25,7.74,8.25,7.74
89,6.65,3.85,2.89,2.89,6.18,2.89,3.85,6.18,5.34,2.89
90,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55
91,5.25,4.92,4.92,4.92,4.92,5.25,4.92,5.25,4.92,4.92
92,7.94,7.94,7.94,7.94,7.94,7.94,7.94,7.94,7.94,7.94
93,1.93,1.93,1.93,1.93,1.93,1.93,1.93,1.93,1.93,1.93
94,7.01,7.01,7.01,7.01,7.01,7.01,7.01,7.01,7.01,7.01
95,3.33,3.28,3.28,3.33,3.28,3.28,3.28,3.28,3.28,3.28
96,1.45,8.04,7.93,1.21,8.38,7.69,7.59,1.21,1.45,7.59
97,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64
98,6.52,6.52,6.52,6.52,5.84,3.56,6.52,3.78,5.84,5.46
99,2.47,2.47,2.47,2.47,2.47,2.47,2.47,2.47,2.47,2.47
